Package                      Current   Wanted   Latest  Location                                  Depended by
@eslint/js                    9.39.4   9.39.5   10.0.1  node_modules/@eslint/js                   gathetr
@playwright/test              1.61.1   1.62.0   1.62.0  node_modules/@playwright/test             gathetr
@sentry/react                10.67.0  10.69.0  10.69.0  node_modules/@sentry/react                gathetr
@tailwindcss/vite              4.3.1    4.3.3    4.3.3  node_modules/@tailwindcss/vite            gathetr
@vitejs/plugin-react           5.2.0    5.2.0    6.0.5  node_modules/@vitejs/plugin-react         gathetr
eslint                        9.39.4   9.39.5   10.8.0  node_modules/eslint                       gathetr
eslint-plugin-react-refresh   0.4.26   0.4.26    0.5.3  node_modules/eslint-plugin-react-refresh  gathetr
firebase                     12.15.0  12.16.0  12.16.0  node_modules/firebase                     gathetr
globals                       16.5.0   16.5.0   17.8.0  node_modules/globals                      gathetr
lucide-react                 0.468.0  0.468.0   1.28.0  node_modules/lucide-react                 gathetr
react                         19.2.7   19.2.8   19.2.8  node_modules/react                        gathetr
react-doctor                   0.8.3    0.8.3    0.9.2  node_modules/react-doctor                 gathetr
react-dom                     19.2.7   19.2.8   19.2.8  node_modules/react-dom                    gathetr
read-excel-file                9.2.0    9.3.5    9.3.5  node_modules/read-excel-file              gathetr
tailwindcss                    4.3.1    4.3.3    4.3.3  node_modules/tailwindcss                  gathetr
vite                           7.3.5    7.3.6    8.2.0  node_modules/vite                         gathetr
