path,fileType,approximatePurpose,featureArea,activeSource,test,configuration,documentation,integrationPackage,generatedEvidence,historicalOrLegacy,lastRelevantCommit,manuallyInspected,appearsActive,appearsUnused,riskLevel,notes
.env.example,.example,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,93117d6,metadata only,true,false,low,Binary/generated or non-text metadata only; 533 bytes
.firebaserc,.firebaserc,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,28bc592,yes - categorized by path/content scan,true,false,low,Tracked configuration; 56 bytes
.github/codeql/codeql-config.yml,.yml,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,321d987,yes - categorized by path/content scan,true,false,low,Tracked configuration; 235 bytes
.github/dependabot.yml,.yml,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,321d987,yes - categorized by path/content scan,true,false,low,Tracked configuration; 729 bytes
.github/workflows/daily-qa.yml,.yml,"Build, Firebase, CI, dependency or tooling config",system qa,false,false,true,false,false,false,false,ca93b26,yes - categorized by path/content scan,true,false,low,Tracked configuration; 2707 bytes
.gitignore,.gitignore,"Build, Firebase, CI, dependency or tooling config",configuration,false,false,true,false,false,false,false,93117d6,yes - categorized by path/content scan,true,false,low,Tracked configuration; 588 bytes
AI_AGENT_RULES.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,1a1f43d,yes - categorized by path/content scan,true,false,low,Tracked documentation; 4437 bytes
AUDIT_PHASE_14_15_HANDOFF.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,40b33f3,yes - categorized by path/content scan,true,false,low,Tracked documentation; 48826 bytes
PHASE_14B_REVIEW_FIX_HANDOFF.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,1f7ec17,yes - categorized by path/content scan,true,false,low,Tracked documentation; 8221 bytes
PHASE_17D_D_ACCESS_WORKFLOW_READINESS.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,d0c11f1,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 4469 bytes
PHASE_17D_PLAN.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,d0c11f1,yes - categorized by path/content scan,true,false,low,Tracked documentation; 9261 bytes
PHASE_17E_A_ACCESS_RULES_DATA_MODEL_REVIEW.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,ac931a6,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 6616 bytes
PHASE_17E_E_ACCESS_WORKFLOW_DEPLOYMENT_READINESS.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,687c2d7,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 7180 bytes
PHASE_17F_A_ACCESS_WORKFLOW_IMPLEMENTATION_PLAN.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,d0c11f1,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 5806 bytes
PHASE_17F_C_ACCESS_WORKFLOW_SMOKE_CHECKLIST.md,.md,Project documentation or historical phase record,check-in,false,false,false,true,false,false,true,98e2a0c,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 2891 bytes
PHASE_17G_A_LIVE_WORKFLOW_GO_NO_GO_RULES_APPROVAL.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,b2d4262,yes - categorized by path/content scan,true,false,low,Tracked documentation; 9312 bytes
PHASE_17G_B_FIRESTORE_RULES_DEPLOYMENT_FINAL_REVIEW.md,.md,Project documentation or historical phase record,firebase security,false,false,false,true,false,false,true,85a1bee,yes - categorized by path/content scan,true,false,low,Tracked documentation; 9707 bytes
PHASE_17R_RELEASE_STABILIZER_AUTOFIX.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,ae30f30,yes - categorized by path/content scan,true,false,low,Tracked documentation; 2607 bytes
PHASE_18_CORE_APP_READINESS.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,ae30f30,yes - categorized by path/content scan,true,false,low,Tracked documentation; 2176 bytes
PHASE_19_OPERATIONS_PRODUCTIVITY.md,.md,Project documentation or historical phase record,operations,false,false,false,true,false,false,true,ae30f30,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 1494 bytes
PHASE_20_DASHBOARD_OPERATIONS_REAL_USE.md,.md,Project documentation or historical phase record,operations,false,false,false,true,false,false,true,23d2dbd,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 3665 bytes
PHASE_21_EVENT_COMMAND_CENTER_OPTIONS.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,c6392aa,yes - categorized by path/content scan,true,false,low,Tracked documentation; 1986 bytes
PHASE_22A_AUTH_RELIABILITY_LOCAL_REVIEW_FIX.md,.md,Project documentation or historical phase record,authentication,false,false,false,true,false,false,true,537c0ec,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 3339 bytes
PHASE_22_ORGANIZER_EVENT_REVIEW.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,e1380e3,yes - categorized by path/content scan,true,false,low,Tracked documentation; 6846 bytes
PHASE_23A_PRODUCT_STRUCTURE_UI_RESET.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,e257a6e,yes - categorized by path/content scan,true,false,low,Tracked documentation; 6241 bytes
PHASE_23B_PAYMENTS_OPERATIONS_BOUNDARIES.md,.md,Project documentation or historical phase record,finance,false,false,false,true,false,false,true,1afdfbb,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 5996 bytes
PHASE_23C_CPB_PAYMENT_RECONCILIATION_DRY_RUN.md,.md,Project documentation or historical phase record,finance,false,false,false,true,false,false,true,7b97001,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 23611 bytes
PHASE_23D0_REGISTRATION_PAYMENT_EDITING_AUDIT.md,.md,Project documentation or historical phase record,registrations,false,false,false,true,false,false,true,871cb09,yes - categorized by path/content scan,true,false,medium,Tracked documentation; 9796 bytes
PHASE_23E_NEW_CPB_MANIFEST_REGENERATION.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,5d3781b,yes - categorized by path/content scan,true,false,low,Tracked documentation; 3433 bytes
PHASE_23F_CPB_MANIFEST_APPROVAL_PACKAGE.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,5d3781b,yes - categorized by path/content scan,true,false,low,Tracked documentation; 3124 bytes
PHASE_23G_LOCKED_APPLY_ENGINE_CODEX_REHEARSAL.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,5d3781b,yes - categorized by path/content scan,true,false,high,Tracked documentation; 2591 bytes
PHASE_23J_CPB_PRODUCTION_APPLY.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,0b84316,yes - categorized by path/content scan,true,false,high,Tracked documentation; 9000 bytes
PHASE_23LA_AUDIT_LOG_APPEND_ONLY_INTEGRITY.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,8b4cb4b,yes - categorized by path/content scan,true,false,low,Tracked documentation; 8320 bytes
PHASE_23N_SUBSETS_1_4_PRODUCTION_APPLY.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,true,07b7a7e,yes - categorized by path/content scan,true,false,high,Tracked documentation; 7773 bytes
PROJECT_HANDOFF.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,abe6e26,yes - categorized by path/content scan,true,false,low,Tracked documentation; 62427 bytes
QA_REPORT_2026-06-23_live-test-run.md,.md,Project documentation or historical phase record,system qa,false,false,false,true,false,false,false,73553dd,yes - categorized by path/content scan,true,false,low,Tracked documentation; 4703 bytes
README.md,.md,Project documentation or historical phase record,documentation,false,false,false,true,false,false,false,9a15eae,yes - categorized by path/content scan,true,false,low,Tracked documentation; 51169 bytes
